"","Var1","Var2","Freq"
"1912","1926","Wales",17
"1913","1927","Wales",9
"1914","1928","Wales",4
"1915","1929","Wales",8
"1916","1930","Wales",4
"1917","1931","Wales",6
"1918","1932","Wales",6
"1919","1933","Wales",11
"1920","1934","Wales",10
"1921","1935","Wales",11
"1922","1936","Wales",9
"1923","1937","Wales",12
"1924","1938","Wales",16
"1925","1939","Wales",12
"1926","1940","Wales",9
"1927","1941","Wales",5
"1928","1942","Wales",9
"1929","1943","Wales",15
"1930","1944","Wales",14
"1931","1945","Wales",23
"1932","1946","Wales",39
"1933","1947","Wales",36
"1934","1948","Wales",27
"1935","1949","Wales",21
"1936","1950","Wales",35
"1937","1951","Wales",24
"1938","1952","Wales",18
"1939","1953","Wales",39
"1940","1954","Wales",39
"1941","1955","Wales",41
"1942","1956","Wales",41
"1943","1957","Wales",40
"1944","1958","Wales",51
"1945","1959","Wales",69
"1946","1960","Wales",80
"1947","1961","Wales",88
"1948","1962","Wales",84
"1949","1963","Wales",91
"1950","1964","Wales",127
"1951","1965","Wales",97
"1952","1966","Wales",57
"1953","1967","Wales",64
"1954","1968","Wales",45
"1955","1969","Wales",43
"1956","1970","Wales",72
"1957","1971","Wales",102
"1958","1972","Wales",143
"1959","1973","Wales",157
"1960","1974","Wales",125
"1961","1975","Wales",129
"1962","1976","Wales",160
"1963","1977","Wales",145
"1964","1978","Wales",187
"1965","1979","Wales",191
"1966","1980","Wales",182
"1967","1981","Wales",211
"1968","1982","Wales",259
"1969","1983","Wales",270
"1970","1984","Wales",285
"1971","1985","Wales",311
"1972","1986","Wales",352
"1973","1987","Wales",427
"1974","1988","Wales",434
"1975","1989","Wales",442
"1976","1990","Wales",447
"1977","1991","Wales",429
"1978","1992","Wales",452
"1979","1993","Wales",444
"1980","1994","Wales",586
"1981","1995","Wales",646
"1982","1996","Wales",804
"1983","1997","Wales",907
"1984","1998","Wales",1032
"1985","1999","Wales",1208
"1986","2000","Wales",1366
"1987","2001","Wales",1466
"1988","2002","Wales",2643
"1989","2003","Wales",3869
"1990","2004","Wales",2908
"1991","2005","Wales",3038
"1992","2006","Wales",3416
"1993","2007","Wales",3726
"1994","2008","Wales",3457
"1995","2009","Wales",3588
"1996","2010","Wales",4510
"1997","2011","Wales",5281
"1998","2012","Wales",6364
"1999","2013","Wales",7643
"2000","2014","Wales",9269
"2001","2015","Wales",10915
"2002","2016","Wales",14511
"2003","2017","Wales",18293
"2004","2018","Wales",2964
"2005","1552","West Midlands",0
"2006","1638","West Midlands",0
"2007","1701","West Midlands",0
"2008","1813","West Midlands",0
"2009","1832","West Midlands",0
"2010","1856","West Midlands",0
"2011","1857","West Midlands",0
"2012","1859","West Midlands",0
"2013","1860","West Midlands",0
"2014","1861","West Midlands",0
"2015","1862","West Midlands",0
"2016","1863","West Midlands",0
"2017","1864","West Midlands",2
"2018","1865","West Midlands",0
"2019","1866","West Midlands",1
"2020","1867","West Midlands",0
"2021","1868","West Midlands",1
"2022","1869","West Midlands",0
"2023","1870","West Midlands",1
"2024","1871","West Midlands",3
"2025","1872","West Midlands",2
"2026","1873","West Midlands",1
"2027","1874","West Midlands",3
"2028","1875","West Midlands",2
"2029","1876","West Midlands",2
"2030","1877","West Midlands",0
"2031","1878","West Midlands",2
"2032","1879","West Midlands",3
"2033","1880","West Midlands",2
"2034","1881","West Midlands",1
"2035","1882","West Midlands",2
"2036","1883","West Midlands",2
"2037","1884","West Midlands",1
"2038","1885","West Midlands",5
"2039","1886","West Midlands",1
"2040","1887","West Midlands",5
"2041","1888","West Midlands",4
"2042","1889","West Midlands",4
"2043","1890","West Midlands",8
"2044","1891","West Midlands",7
"2045","1892","West Midlands",8
"2046","1893","West Midlands",10
"2047","1894","West Midlands",11
"2048","1895","West Midlands",3
"2049","1896","West Midlands",11
"2050","1897","West Midlands",12
"2051","1898","West Midlands",17
"2052","1899","West Midlands",15
"2053","1900","West Midlands",26
"2054","1901","West Midlands",12
"2055","1902","West Midlands",11
"2056","1903","West Midlands",16
"2057","1904","West Midlands",14
"2058","1905","West Midlands",15
"2059","1906","West Midlands",11
"2060","1907","West Midlands",17
"2061","1908","West Midlands",18
"2062","1909","West Midlands",22
"2063","1910","West Midlands",25
"2064","1911","West Midlands",17
"2065","1912","West Midlands",24
"2066","1913","West Midlands",25
"2067","1914","West Midlands",18
"2068","1915","West Midlands",17
"2069","1916","West Midlands",18
"2070","1917","West Midlands",15
"2071","1918","West Midlands",17
"2072","1919","West Midlands",42
"2073","1920","West Midlands",52
"2074","1921","West Midlands",33
"2075","1922","West Midlands",27
"2076","1923","West Midlands",38
"2077","1924","West Midlands",36
"2078","1925","West Midlands",32
"2079","1926","West Midlands",34
"2080","1927","West Midlands",40
"2081","1928","West Midlands",43
"2082","1929","West Midlands",47
"2083","1930","West Midlands",39
"2084","1931","West Midlands",32
"2085","1932","West Midlands",48
"2086","1933","West Midlands",55
"2087","1934","West Midlands",63
"2088","1935","West Midlands",82
"2089","1936","West Midlands",75
"2090","1937","West Midlands",52
"2091","1938","West Midlands",62
"2092","1939","West Midlands",61
"2093","1940","West Midlands",44
"2094","1941","West Midlands",67
"2095","1942","West Midlands",69
"2096","1943","West Midlands",62
"2097","1944","West Midlands",58
"2098","1945","West Midlands",69
"2099","1946","West Midlands",134
"2100","1947","West Midlands",153
"2101","1948","West Midlands",116
"2102","1949","West Midlands",118
"2103","1950","West Midlands",100
"2104","1951","West Midlands",98
"2105","1952","West Midlands",94
"2106","1953","West Midlands",96
"2107","1954","West Midlands",149
"2108","1955","West Midlands",115
"2109","1956","West Midlands",120
"2110","1957","West Midlands",169
"2111","1958","West Midlands",176
"2112","1959","West Midlands",224
"2113","1960","West Midlands",245
"2114","1961","West Midlands",242
"2115","1962","West Midlands",235
"2116","1963","West Midlands",307
"2117","1964","West Midlands",306
"2118","1965","West Midlands",277
"2119","1966","West Midlands",186
"2120","1967","West Midlands",201
"2121","1968","West Midlands",174
"2122","1969","West Midlands",206
"2123","1970","West Midlands",236
"2124","1971","West Midlands",320
"2125","1972","West Midlands",346
"2126","1973","West Midlands",474
"2127","1974","West Midlands",350
"2128","1975","West Midlands",461
"2129","1976","West Midlands",435
"2130","1977","West Midlands",473
"2131","1978","West Midlands",539
"2132","1979","West Midlands",493
"2133","1980","West Midlands",548
"2134","1981","West Midlands",635
"2135","1982","West Midlands",860
"2136","1983","West Midlands",836
"2137","1984","West Midlands",844
"2138","1985","West Midlands",867
"2139","1986","West Midlands",1015
"2140","1987","West Midlands",1134
"2141","1988","West Midlands",1232
"2142","1989","West Midlands",1233
"2143","1990","West Midlands",1181
"2144","1991","West Midlands",1154
"2145","1992","West Midlands",1218
"2146","1993","West Midlands",1293
"2147","1994","West Midlands",1539
"2148","1995","West Midlands",1721
"2149","1996","West Midlands",2050
"2150","1997","West Midlands",2556
"2151","1998","West Midlands",2808
"2152","1999","West Midlands",3255
"2153","2000","West Midlands",3772
"2154","2001","West Midlands",3790
"2155","2002","West Midlands",6352
"2156","2003","West Midlands",8339
"2157","2004","West Midlands",6798
"2158","2005","West Midlands",7612
"2159","2006","West Midlands",9088
"2160","2007","West Midlands",9765
"2161","2008","West Midlands",9233
"2162","2009","West Midlands",9896
"2163","2010","West Midlands",11826
"2164","2011","West Midlands",14401
"2165","2012","West Midlands",16672
"2166","2013","West Midlands",19711
"2167","2014","West Midlands",25625
"2168","2015","West Midlands",29934
"2169","2016","West Midlands",43532
"2170","2017","West Midlands",54730
"2171","2018","West Midlands",9506
